"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.047500720E-1,8.399150101E-4,7.635590737E-5,-1.221694518E-3,1.484528526E-3
4.071759050E-1,8.399150101E-4,7.635590737E-5,0.000000000E0,8.433785917E-4
4.096017380E-1,2.290677221E-4,-1.145338640E-3,0.000000000E0,1.168020813E-3
4.120276240E-1,-9.926267667E-4,1.298050396E-3,6.108472589E-4,1.744527759E-3
4.144534570E-1,-3.817795368E-4,7.635590737E-5,6.108472589E-4,7.243757403E-4
4.168792910E-1,-3.817795368E-4,-1.145338640E-3,6.108472589E-4,1.353030150E-3
4.193051240E-1,-9.926267667E-4,7.635590737E-5,0.000000000E0,9.955592009E-4
4.217310090E-1,-3.817795368E-4,7.635590737E-5,0.000000000E0,3.893402616E-4
4.241568430E-1,-9.926267667E-4,7.635590737E-5,-6.108472589E-4,1.168020760E-3
4.265826760E-1,-3.817795368E-4,-1.145338640E-3,6.108472589E-4,1.353030150E-3
4.290085090E-1,-3.817795368E-4,-1.756185899E-3,-1.221694518E-3,2.173127244E-3
4.314343430E-1,2.290677221E-4,-1.145338640E-3,6.108472589E-4,1.318107353E-3
4.338602280E-1,-3.817795368E-4,-1.145338640E-3,0.000000000E0,1.207292928E-3
4.362860610E-1,2.290677221E-4,-1.756185899E-3,1.221694518E-3,2.151557210E-3
4.387118950E-1,-3.817795368E-4,-5.344913807E-4,1.221694518E-3,1.387073951E-3
4.411377280E-1,-3.817795368E-4,-5.344913807E-4,-6.108472589E-4,8.969788317E-4
4.435636130E-1,2.290677221E-4,-1.145338640E-3,6.108472589E-4,1.318107353E-3
4.459894470E-1,-3.817795368E-4,-5.344913807E-4,6.108472589E-4,8.969788317E-4
4.484152800E-1,-9.926267667E-4,-5.344913807E-4,6.108472589E-4,1.282233718E-3
4.508411130E-1,-3.817795368E-4,-1.145338640E-3,1.221694518E-3,1.717583683E-3
4.532669990E-1,-9.926267667E-4,6.872031372E-4,-6.108472589E-4,1.353030090E-3
4.556928320E-1,-9.926267667E-4,-1.145338640E-3,6.108472589E-4,1.634087779E-3
4.581186660E-1,2.290677221E-4,1.908897655E-3,6.108472589E-4,2.017299346E-3
4.605444990E-1,-9.926267667E-4,-1.756185899E-3,-6.108472589E-4,2.107755010E-3
