"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.870245860E-1,-0.000000000E0,-5.344913807E-4,-1.298050396E-3,1.403786261E-3
5.894504190E-1,6.108472589E-4,-1.145338640E-3,-1.298050396E-3,1.835720514E-3
5.918762520E-1,-0.000000000E0,6.872031372E-4,-7.635590737E-5,6.914321199E-4
5.943021380E-1,-0.000000000E0,6.872031372E-4,5.344913807E-4,8.705912863E-4
5.967279710E-1,6.108472589E-4,-1.145338640E-3,5.344913807E-4,1.403786312E-3
5.991538040E-1,6.108472589E-4,7.635590737E-5,-7.635590737E-5,6.203183239E-4
6.015796380E-1,-0.000000000E0,1.298050396E-3,5.344913807E-4,1.403786261E-3
6.040054710E-1,-2.443389036E-3,7.635590737E-5,-7.635590737E-5,2.445773994E-3
6.064313040E-1,-0.000000000E0,-5.344913807E-4,-7.635590737E-5,5.399178276E-4
6.088571380E-1,-0.000000000E0,1.298050396E-3,-7.635590737E-5,1.300294219E-3
6.112829710E-1,-6.108472589E-4,6.872031372E-4,5.344913807E-4,1.063514721E-3
6.137088040E-1,6.108472589E-4,7.635590737E-5,-6.872031372E-4,9.226119174E-4
6.161346380E-1,-6.108472589E-4,-1.145338640E-3,5.344913807E-4,1.403786312E-3
6.185604710E-1,-0.000000000E0,-5.344913807E-4,-1.298050396E-3,1.403786261E-3
6.209863570E-1,6.108472589E-4,7.635590737E-5,-6.872031372E-4,9.226119174E-4
6.234121380E-1,6.108472589E-4,7.635590737E-5,-6.872031372E-4,9.226119174E-4
6.258380230E-1,-0.000000000E0,6.872031372E-4,5.344913807E-4,8.705912863E-4
6.282638570E-1,6.108472589E-4,-5.344913807E-4,-6.872031372E-4,1.063514721E-3
6.306896900E-1,-0.000000000E0,-1.145338640E-3,-7.635590737E-5,1.147881015E-3
6.331155230E-1,-0.000000000E0,6.872031372E-4,-1.298050396E-3,1.468735164E-3
6.355413570E-1,-6.108472589E-4,-5.344913807E-4,-1.908897655E-3,2.074296427E-3
6.379671900E-1,6.108472589E-4,7.635590737E-5,-6.872031372E-4,9.226119174E-4
6.403930230E-1,-1.221694518E-3,6.872031372E-4,-6.872031372E-4,1.561100189E-3
6.428188570E-1,-6.108472589E-4,7.635590737E-5,1.145338640E-3,1.300294274E-3
6.452446900E-1,-1.221694518E-3,6.872031372E-4,-7.635590737E-5,1.403786263E-3
6.476705230E-1,-6.108472589E-4,6.872031372E-4,-7.635590737E-5,9.226119174E-4
6.500963570E-1,6.108472589E-4,1.298050396E-3,1.145338640E-3,1.835720514E-3
6.525222420E-1,6.108472589E-4,7.635590737E-5,1.145338640E-3,1.300294274E-3
6.549480750E-1,6.108472589E-4,-5.344913807E-4,5.344913807E-4,9.718520699E-4
6.573739090E-1,-6.108472589E-4,7.635590737E-5,-7.635590737E-5,6.203183239E-4
6.597997420E-1,1.221694518E-3,-5.344913807E-4,-7.635590737E-5,1.335682880E-3
6.622255750E-1,-0.000000000E0,-1.145338640E-3,-7.635590737E-5,1.147881015E-3
6.646514090E-1,-1.832541777E-3,1.298050396E-3,-6.872031372E-4,2.348487246E-3
6.670772420E-1,-1.221694518E-3,1.298050396E-3,-7.635590737E-5,1.784181199E-3
6.695030750E-1,-0.000000000E0,6.872031372E-4,5.344913807E-4,8.705912863E-4
6.719289090E-1,-0.000000000E0,-1.145338640E-3,1.145338640E-3,1.619753438E-3
6.743547420E-1,1.221694518E-3,7.635590737E-5,-6.872031372E-4,1.403786263E-3
6.767805750E-1,1.221694518E-3,7.635590737E-5,1.145338640E-3,1.676355666E-3
6.792064090E-1,6.108472589E-4,7.635590737E-5,-7.635590737E-5,6.203183239E-4
6.816322940E-1,1.221694518E-3,6.872031372E-4,5.344913807E-4,1.500155553E-3
6.840581270E-1,-0.000000000E0,6.872031372E-4,-7.635590737E-5,6.914321199E-4
6.864839610E-1,6.108472589E-4,7.635590737E-5,-7.635590737E-5,6.203183239E-4
6.889097940E-1,6.108472589E-4,7.635590737E-5,5.344913807E-4,8.152580170E-4
6.913356270E-1,6.108472589E-4,-5.344913807E-4,1.145338640E-3,1.403786312E-3
6.937614610E-1,-0.000000000E0,6.872031372E-4,-6.872031372E-4,9.718519967E-4
6.961872940E-1,-0.000000000E0,-1.756185899E-3,-6.872031372E-4,1.885851813E-3
