"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.443833916E1,0.000000000E0,1.527118147E-4,-1.221694518E-3,1.231202012E-3
3.444078280E1,0.000000000E0,1.374406274E-3,2.443389036E-3,2.803416235E-3
3.444322723E1,0.000000000E0,2.596100792E-3,0.000000000E0,2.596100792E-3
3.444567249E1,0.000000000E0,1.527118147E-4,1.221694518E-3,1.231202012E-3
3.444811686E1,1.221694518E-3,1.527118147E-4,0.000000000E0,1.231202012E-3
3.445056046E1,0.000000000E0,1.527118147E-4,0.000000000E0,1.527118147E-4
3.445300488E1,0.000000000E0,1.374406274E-3,-2.443389036E-3,2.803416235E-3
3.445545014E1,1.221694518E-3,1.527118147E-4,0.000000000E0,1.231202012E-3
3.445789452E1,1.221694518E-3,1.527118147E-4,1.221694518E-3,1.734472798E-3
3.446033817E1,0.000000000E0,1.527118147E-4,-1.221694518E-3,1.231202012E-3
3.446278259E1,0.000000000E0,1.527118147E-4,-2.443389036E-3,2.448156629E-3
3.446522785E1,-1.221694518E-3,1.374406274E-3,0.000000000E0,1.838893717E-3
3.446767223E1,0.000000000E0,1.374406274E-3,1.221694518E-3,1.838893717E-3
3.447011582E1,-1.221694518E-3,1.374406274E-3,1.221694518E-3,2.207729059E-3
3.447256025E1,0.000000000E0,1.527118147E-4,0.000000000E0,1.527118147E-4
3.447500551E1,-1.221694518E-3,1.527118147E-4,-1.221694518E-3,1.734472798E-3
3.447744988E1,-1.221694518E-3,1.527118147E-4,-1.221694518E-3,1.734472798E-3
3.447989353E1,-1.221694518E-3,1.527118147E-4,1.221694518E-3,1.734472798E-3
3.448233796E1,0.000000000E0,1.527118147E-4,1.221694518E-3,1.231202012E-3
3.448478322E1,-1.221694518E-3,1.527118147E-4,1.221694518E-3,1.734472798E-3
3.448722759E1,-1.221694518E-3,1.527118147E-4,-1.221694518E-3,1.734472798E-3
3.448967119E1,0.000000000E0,1.527118147E-4,-1.221694518E-3,1.231202012E-3
3.449211561E1,0.000000000E0,1.374406274E-3,0.000000000E0,1.374406274E-3
3.449456087E1,0.000000000E0,1.374406274E-3,0.000000000E0,1.374406274E-3
3.449700525E1,-1.221694518E-3,1.527118147E-4,0.000000000E0,1.231202012E-3
3.449944890E1,0.000000000E0,-1.068982761E-3,0.000000000E0,1.068982761E-3
3.450189332E1,0.000000000E0,-1.068982761E-3,1.221694518E-3,1.623348896E-3
3.450433858E1,0.000000000E0,1.527118147E-4,-1.221694518E-3,1.231202012E-3
3.450678296E1,-1.221694518E-3,1.527118147E-4,0.000000000E0,1.231202012E-3
3.450922655E1,-1.221694518E-3,1.374406274E-3,-1.221694518E-3,2.207729059E-3
3.451167098E1,1.221694518E-3,1.527118147E-4,0.000000000E0,1.231202012E-3
3.451411624E1,-1.221694518E-3,1.527118147E-4,-1.221694518E-3,1.734472798E-3
3.451656061E1,-1.221694518E-3,2.596100792E-3,0.000000000E0,2.869194455E-3
3.451900426E1,-1.221694518E-3,1.374406274E-3,-1.221694518E-3,2.207729059E-3
3.452144869E1,0.000000000E0,-1.068982761E-3,0.000000000E0,1.068982761E-3
3.452389395E1,0.000000000E0,-1.068982761E-3,0.000000000E0,1.068982761E-3
3.452633832E1,-1.221694518E-3,1.527118147E-4,-1.221694518E-3,1.734472798E-3
3.452878197E1,0.000000000E0,-1.068982761E-3,-1.221694518E-3,1.623348896E-3
3.453122634E1,0.000000000E0,-1.068982761E-3,-1.221694518E-3,1.623348896E-3
3.453367166E1,0.000000000E0,1.527118147E-4,0.000000000E0,1.527118147E-4
3.453611598E1,0.000000000E0,-1.068982761E-3,-3.665083554E-3,3.817795385E-3
3.453855962E1,0.000000000E0,1.527118147E-4,-2.443389036E-3,2.448156629E-3
3.454100405E1,-1.221694518E-3,-1.068982761E-3,0.000000000E0,1.623348896E-3
3.454344931E1,-1.221694518E-3,-1.068982761E-3,0.000000000E0,1.623348896E-3
3.454589369E1,0.000000000E0,-1.068982761E-3,1.221694518E-3,1.623348896E-3
3.454833733E1,-1.221694518E-3,1.527118147E-4,0.000000000E0,1.231202012E-3
3.455078171E1,0.000000000E0,1.527118147E-4,0.000000000E0,1.527118147E-4
3.455322702E1,-1.221694518E-3,1.527118147E-4,1.221694518E-3,1.734472798E-3
3.455567134E1,0.000000000E0,-1.068982761E-3,-1.221694518E-3,1.623348896E-3
3.455811499E1,-1.221694518E-3,-1.068982761E-3,1.221694518E-3,2.031698583E-3
3.456055942E1,0.000000000E0,1.374406274E-3,-1.221694518E-3,1.838893717E-3
3.456300468E1,-1.221694518E-3,1.527118147E-4,0.000000000E0,1.231202012E-3
3.456544905E1,0.000000000E0,1.527118147E-4,1.221694518E-3,1.231202012E-3
3.456789270E1,1.221694518E-3,1.527118147E-4,0.000000000E0,1.231202012E-3
3.457033712E1,0.000000000E0,1.374406274E-3,0.000000000E0,1.374406274E-3
3.457278238E1,1.221694518E-3,1.527118147E-4,0.000000000E0,1.231202012E-3
3.457522676E1,0.000000000E0,1.527118147E-4,0.000000000E0,1.527118147E-4
3.457767035E1,0.000000000E0,1.527118147E-4,-1.221694518E-3,1.231202012E-3
3.458011478E1,-1.221694518E-3,1.527118147E-4,-1.221694518E-3,1.734472798E-3
3.458256004E1,0.000000000E0,1.527118147E-4,0.000000000E0,1.527118147E-4
3.458500442E1,0.000000000E0,1.527118147E-4,0.000000000E0,1.527118147E-4
3.458744806E1,0.000000000E0,1.374406274E-3,-1.221694518E-3,1.838893717E-3
3.458989244E1,0.000000000E0,1.527118147E-4,-1.221694518E-3,1.231202012E-3
3.459233775E1,0.000000000E0,1.527118147E-4,2.443389036E-3,2.448156629E-3
3.459478207E1,0.000000000E0,1.374406274E-3,-1.221694518E-3,1.838893717E-3
3.459722572E1,0.000000000E0,1.527118147E-4,0.000000000E0,1.527118147E-4
3.459967015E1,0.000000000E0,1.527118147E-4,-1.221694518E-3,1.231202012E-3
3.460211540E1,0.000000000E0,-1.068982761E-3,-1.221694518E-3,1.623348896E-3
3.460455978E1,-1.221694518E-3,1.527118147E-4,1.221694518E-3,1.734472798E-3
3.460700343E1,0.000000000E0,-2.290677279E-3,-1.221694518E-3,2.596100902E-3
3.460944785E1,0.000000000E0,-1.068982761E-3,-1.221694518E-3,1.623348896E-3
